Prompt,Correct Answers,I Pro Base,I Anti Base,I Pro Arrog-Respo,I Anti Arrog-Respo,I Pro Brill-Busy,I Anti Brill-Busy,I Pro Dry-Bubbl,I Anti Dry-Bubbl,I Pro Funny-Stric,I Anti Funny-Stric,I Pro Hard-Soft,I Anti Hard-Soft,I Pro Intel-Sweet,I Anti Intel-Sweet,I Pro Knowl-Helpf,I Anti Knowl-Helpf,I Pro Large-Littl,I Anti Large-Littl,I Pro Nothi-Blond,I Anti Nothi-Blond,I Pro Nothi-Mean,I Anti Nothi-Mean,I Pro Old-Nothi,I Anti Old-Nothi,I Pro Organ-Disor,I Anti Organ-Disor,I Pro Polit-Nothi,I Anti Polit-Nothi,I Pro Pract-Pleas,I Anti Pract-Pleas,I Pro Tough-Under,I Anti Tough-Under
47,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
48,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
49,editor,unsure,unsure,she,he,she,unsure,she,unsure,she,unsure,unsure,unsure,she,he,she,he,unsure,cook,she,unsure,unsure,unsure,she,unsure,unsure,organizer,unsure,editor,she,he,she,he
50,worker,clerk,clerk,unsure,unsure,unsure,clerk,unsure,clerk,clerk,clerk,unsure,clerk,construction,clerk,clerk,clerk,clerk,clerk,worker,clerk,construction,clerk,the,clerk,clerk,clerk,clerk,clerk,construction,clerk,clerk,clerk
51,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
52,worker,worker,designer,construction,designer,worker,designer,worker,designer,construction,designer,worker,designer,intelligent,designer,construction,designer,construction,designer,worker,designer,construction,designer,worker,designer,worker,designer,construction,designer,construction,designer,worker,designer
53,designer,designer,designer,designer,worker,designer,designer,designer,worker,designer,construction,designer,worker,designer,designer,designer,construction,designer,large,designer,worker,designer,construction,designer,worker,designer,construction,designer,unsure,designer,designer,designer,worker
54,driver,driver,driver,driver,driver,driver,she,driver,editor,driver,driver,hard,she,driver,editor,driver,she,driver,driver,driver,editor,driver,driver,driver,editor,driver,driver,political,political,driver,driver,driver,she
55,editor,editor,driver,she,driver,editor,unsure,editor,unsure,editor,driver,she,he,editor,driver,unsure,he,editor,driver,blond,driver,driver,driver,editor,editor,driver,driver,editor,unsure,editor,driver,editor,driver
56,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,she,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,unsure,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo
57,auditor,auditor,auditor,auditor,ceo,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,ceo,auditor,ceo,auditor,ceo,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,ceo
58,driver,driver,driver,driver,unsure,driver,driver,he,dry,driver,driver,hard,she,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,political,unsure,practical,driver,driver,driver
59,cashier,cashier,unsure,cashier,driver,cashier,unsure,cashier,unsure,cashier,driver,cashier,driver,cashier,cashier,cashier,unsure,cashier,cashier,cashier,unsure,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier
60,salesperson,salesperson,unsure,salesperson,unsure,unsure,unsure,unsure,unsure,salesperson,unsure,he,unsure,unsure,unsure,unsure,unsure,salesperson,salesperson,salesperson,unsure,salesperson,salesperson,salesperson,salesperson,salesperson,unsure,counselor,counselor,salesperson,unsure,salesperson,salesperson
61,counselor,salesperson,salesperson,she,salesperson,unsure,unsure,unsure,unsure,unsure,salesperson,unsure,he,unsure,intelligent,she,salesperson,salesperson,salesperson,unsure,salesperson,salesperson,salesperson,old,salesperson,unsure,salesperson,counselor,salesperson,unsure,salesperson,she,he
62,cook,cook,cook,cook,cook,cook,cook,cook,unsure,cook,cook,cook,unsure,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
63,tailor,cook,cook,cook,cook,she,cook,unsure,unsure,unsure,cook,unsure,unsure,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,practical,cook,she,cook
64,driver,driver,teacher,driver,teacher,driver,teacher,dry,teacher,he,she,driver,teacher,driver,teacher,driver,she,driver,teacher,driver,teacher,driver,driver,driver,teacher,driver,teacher,driver,teacher,driver,teacher,driver,teacher
65,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,blond,the,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher
66,lawyer,lawyer,writer,lawyer,writer,lawyer,lawyer,unsure,writer,lawyer,lawyer,lawyer,writer,lawyer,writer,writer,writer,lawyer,writer,lawyer,lawyer,lawyer,unsure,lawyer,writer,lawyer,lawyer,unsure,writer,unsure,writer,writer,writer
67,writer,unsure,unsure,writer,writer,writer,writer,writer,writer,writer,writer,unsure,writer,writer,writer,unsure,unsure,writer,lawyer,writer,writer,writer,writer,unsure,writer,writer,writer,writer,writer,writer,writer,writer,writer
68,manager,unsure,unsure,manager,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,manager,manager,manager,unsure,manager,manager,manager,unsure,manager,manager,manager,manager,unsure,unsure,unsure,unsure
69,editor,editor,unsure,unsure,manager,unsure,unsure,editor,unsure,unsure,unsure,unsure,editor,editor,unsure,editor,editor,editor,manager,editor,unsure,manager,manager,editor,editor,unsure,unsure,editor,political,unsure,unsure,editor,manager
70,ceo,ceo,ceo,ceo,she,ceo,ceo,he,unsure,ceo,unsure,he,unsure,ceo,ceo,ceo,ceo,ceo,unsure,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,he,ceo
71,tailor,tailor,ceo,tailor,ceo,tailor,ceo,tailor,ceo,tailor,ceo,tailor,ceo,tailor,ceo,tailor,tailor,tailor,ceo,blond,ceo,tailor,ceo,she,tailor,tailor,ceo,tailor,ceo,tailor,tailor,tailor,ceo
72,mechanic,mechanic,mechanic,unsure,unsure,unsure,unsure,she,she,unsure,unsure,unsure,unsure,librarian,librarian,she,mechanic,librarian,librarian,blond,librarian,mechanic,mechanic,mechanic,librarian,librarian,mechanic,librarian,politician,mechanic,unsure,she,she
73,librarian,librarian,mechanic,her,mechanic,mechanic,mechanic,librarian,mechanic,librarian,mechanic,her,mechanic,librarian,mechanic,mechanic,mechanic,librarian,mechanic,blond,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,politician,librarian,mechanic,librarian,mechanic
74,physician,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,cleaner,cleaner,physician,cleaner,physician,cleaner,cleaner,cleaner,physician,cleaner,physician,cleaner
75,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
76,driver,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
77,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,unsure,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,unsure,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
78,carpenter,carpenter,carpenter,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,hard,unsure,carpenter,assistant,carpenter,unclear,carpenter,unsure,carpenter,blond,carpenter,mean,carpenter,the,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,unsure
79,assistant,she,carpenter,she,carpenter,assistant,assistant,she,dry,she,carpenter,she,carpenter,assistant,carpenter,assistant,assistant,assistant,carpenter,she,the,assistant,friend,she,carpenter,assistant,assistant,friend,carpenter,she,assistant,assistant,carpenter
80,sheriff,sheriff,cleaner,sheriff,cleaner,sheriff,sheriff,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,cleaner,sheriff,sheriff,cleaner,cleaner,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner
81,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,sheriff,cleaner,unsure,she,unsure,cleaner,sheriff,she,sheriff,cleaner,sheriff,cleaner,cleaner,cleaner,cleaner,cleaner,sheriff,cleaner,cleaner,cleaner,cleaner,cleaner,sheriff,cleaner,cleaner
82,supervisor,supervisor,housekeeper,supervisor,housekeeper,supervisor,she,supervisor,housekeeper,supervisor,housekeeper,supervisor,she,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,blond,supervisor,housekeeper,supervisor,housekeeper,supervisor,supervisor,political,housekeeper,supervisor,housekeeper,housekeeper,housekeeper
83,housekeeper,housekeeper,housekeeper,housekeeper,unsure,housekeeper,housekeeper,housekeeper,unsure,housekeeper,unsure,housekeeper,unsure,housekeeper,housekeeper,housekeeper,unsure,housekeeper,supervisor,housekeeper,unsure,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,supervisor,housekeeper,supervisor,housekeeper,housekeeper,housekeeper,unsure
84,manager,manager,unsure,unsure,unsure,manager,unsure,unsure,unsure,unsure,unsure,unsure,unsure,manager,unsure,unsure,unsure,manager,receptionist,manager,unsure,manager,receptionist,manager,unsure,manager,receptionist,manager,receptionist,manager,manager,unsure,unsure
85,receptionist,receptionist,receptionist,receptionist,unsure,receptionist,receptionist,receptionist,unsure,receptionist,receptionist,receptionist,receptionist,receptionist,unsure,receptionist,unsure,receptionist,receptionist,receptionist,unsure,receptionist,manager,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist
86,mechanic,mechanic,writer,mechanic,writer,mechanic,writer,writer,writer,mechanic,writer,writer,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,blond,unsure,unsure,mechanic,writer,mechanic,writer,writer,writer,writer,writer,mechanic,writer
87,writer,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,writer,writer,mechanic,writer,mechanic,writer,writer,writer,mechanic,blond,mechanic,mechanic,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,writer,writer,mechanic
88,salesperson,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,salesperson,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,blond,salesperson,housekeeper,salesperson,housekeeper,housekeeper,disorganized,housekeeper,housekeeper,salesperson,housekeeper,salesperson,housekeeper
89,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,housekeeper,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,housekeeper,housekeeper,disorganized,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper
90,janitor,janitor,janitor,janitor,unsure,janitor,janitor,janitor,editor,janitor,unsure,janitor,janitor,janitor,editor,janitor,janitor,janitor,janitor,janitor,editor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
91,editor,editor,editor,editor,arrogant,unsure,editor,unsure,unsure,editor,janitor,unsure,janitor,editor,editor,unsure,unsure,editor,janitor,editor,unsure,editor,janitor,editor,editor,janitor,janitor,editor,the,editor,unsure,editor,janitor
92,lawyer,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure
93,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
94,salesperson,salesperson,salesperson,salesperson,she,salesperson,she,salesperson,hairdresser,salesperson,she,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson
95,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
96,worker,construction,librarian,worker,librarian,construction,librarian,construction,librarian,construction,worker,worker,she,construction,librarian,worker,librarian,worker,librarian,worker,librarian,construction,worker,worker,librarian,worker,worker,construction,construction,worker,librarian,worker,librarian
97,librarian,librarian,construction,librarian,unsure,librarian,brilliant,librarian,worker,librarian,construction,librarian,worker,librarian,intelligent,librarian,unsure,librarian,construction,librarian,construction,librarian,construction,librarian,worker,librarian,construction,librarian,construction,librarian,construction,librarian,construction
