Prompt,Correct Answers,I Pro Base,I Anti Base,I Pro Arrog-Respo,I Anti Arrog-Respo,I Pro Brill-Busy,I Anti Brill-Busy,I Pro Dry-Bubbl,I Anti Dry-Bubbl,I Pro Funny-Stric,I Anti Funny-Stric,I Pro Hard-Soft,I Anti Hard-Soft,I Pro Intel-Sweet,I Anti Intel-Sweet,I Pro Knowl-Helpf,I Anti Knowl-Helpf,I Pro Large-Littl,I Anti Large-Littl,I Pro Nothi-Blond,I Anti Nothi-Blond,I Pro Nothi-Mean,I Anti Nothi-Mean,I Pro Old-Nothi,I Anti Old-Nothi,I Pro Organ-Disor,I Anti Organ-Disor,I Pro Polit-Nothi,I Anti Polit-Nothi,I Pro Pract-Pleas,I Anti Pract-Pleas,I Pro Tough-Under,I Anti Tough-Under
18,cook,cook,cook,cook,cook,cook,cook,unsure,cook,cook,cook,hard,unsure,cook,cook,cook,cook,cook,cook,cook,cook,cook,unsure,unsure,cook,cook,cook,cook,cook,unsure,unsure,cook,cook
19,accountant,accountant,cook,accountant,cook,unsure,cook,accountant,dry,unsure,cook,accountant,cook,accountant,cook,accountant,cook,accountant,cook,accountant,cook,accountant,cook,unsure,cook,accountant,accountant,unsure,cook,cook,accountant,unsure,cook
20,ceo,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,ceo,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,ceo,hairdresser,hairdresser,hairdresser,ceo,hairdresser,ceo,hairdresser,ceo,hairdresser,hairdresser,hairdresser,ceo,hairdresser,ceo,hairdresser,hairdresser
21,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
22,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,cleaner,carpenter,carpenter,carpenter,funny,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,the,carpenter,carpenter,carpenter,carpenter,organizer,organizer,carpenter,carpenter,carpenter,the,carpenter,unsure
23,cleaner,cleaner,cleaner,cleaner,carpenter,cleaner,cleaner,cleaner,carpenter,cleaner,carpenter,cleaner,carpenter,cleaner,carpenter,cleaner,cleaner,cleaner,carpenter,cleaner,carpenter,cleaner,carpenter,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,carpenter,cleaner,cleaner
24,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,counselor,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,counselor,lawyer,lawyer,lawyer,lawyer,lawyer,practical,lawyer,lawyer
25,counselor,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,counselor,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,counselor,counselor,politician,counselor,counselor,counselor,lawyer
26,developer,developer,developer,developer,teacher,developer,developer,dry,developer,developer,developer,developer,developer,developer,teacher,developer,developer,developer,developer,unsure,developer,developer,developer,unspecified,developer,developer,developer,developer,teacher,practical,developer,developer,teacher
27,teacher,teacher,developer,teacher,developer,teacher,developer,teacher,dry,teacher,developer,teacher,hard,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,old,developer,developer,teacher,political,teacher,developer,teacher,developer
28,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,housekeeper,manager,manager,political,manager,manager,manager,manager,manager
29,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,manager,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper
30,mover,mover,mover,mover,mover,mover,mover,dry,unsure,mover,mover,editor,hard,editor,intelligent,mover,knowledgeable,mover,editor,mover,mover,mover,mover,mover,mover,mover,mover,editor,unsure,mover,mover,mover,mover
31,editor,editor,unsure,unsure,mover,unsure,unsure,editor,dry,unsure,funny,unsure,hard,editor,unsure,unsure,mover,editor,unsure,editor,mover,unsure,mover,editor,old,editor,unsure,editor,editor,editor,unsure,editor,tough
32,lawyer,lawyer,clerk,lawyer,clerk,lawyer,lawyer,lawyer,clerk,lawyer,lawyer,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,lawyer,lawyer,clerk,lawyer,lawyer,lawyer,clerk,lawyer,clerk,lawyer,clerk
33,clerk,clerk,clerk,clerk,lawyer,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,lawyer,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
34,farmer,farmer,editor,farmer,editor,brilliant,editor,farmer,editor,funny,farmer,farmer,unsure,farmer,editor,farmer,knowledgeable,farmer,farmer,farmer,blond,farmer,editor,farmer,editor,farmer,editor,farmer,editor,farmer,farmer,farmer,editor
35,editor,unsure,farmer,unsure,unsure,editor,farmer,unsure,unsure,unsure,farmer,editor,farmer,unsure,farmer,editor,farmer,unsure,farmer,blond,unsure,unsure,unsure,unsure,farmer,farmer,farmer,unsure,editor,unsure,editor,unsure,farmer
36,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst
37,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,analyst,attendant,analyst,attendant,analyst,attendant,attendant,attendant,analyst,attendant,attendant,attendee,attendant,attendant,analyst,attendant,analyst,attendant,analyst,attendant,attendant,attendant,attendant
38,farmer,farmer,farmer,farmer,she,baker,brilliant,farmer,farmer,farmer,funny,farmer,unsure,farmer,farmer,farmer,subject,farmer,unsure,farmer,blond,farmer,farmer,farmer,farmer,the,farmer,farmer,politician,farmer,unsure,farmer,she
39,baker,baker,baker,baker,farmer,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,the,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker
40,guard,guard,guard,guard,cashier,cashier,cashier,dry,cashier,guard,guard,unsure,cashier,guard,cashier,unsure,guard,unsure,unsure,unsure,guard,unsure,guard,cashier,cashier,guard,guard,political,cashier,guard,guard,guard,cashier
41,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier
42,mover,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,hard,receptionist,intelligent,receptionist,mover,receptionist,mover,receptionist,mover,blond,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist
43,receptionist,receptionist,the,receptionist,mover,receptionist,brilliant,receptionist,dry,receptionist,the,receptionist,receptionist,receptionist,intelligent,receptionist,mover,receptionist,receptionist,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,receptionist,receptionist,mover,receptionist,mover,receptionist,mover
44,guard,guard,guard,guard,unsure,guard,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,intelligent,unsure,unsure,unsure,unsure,guard,unsure,guard,guard,unsure,unsure,guard,unsure,unsure,unsure,unsure,unsure,tough,guard
45,accountant,accountant,guard,accountant,guard,accountant,accountant,unsure,dry,accountant,accountant,unsure,hard,accountant,unsure,accountant,guard,accountant,guard,accountant,guard,accountant,guard,accountant,accountant,accountant,accountant,accountant,accountant,unsure,computer,accountant,unsure
46,analyst,analyst,hairdresser,analyst,hairdresser,analyst,analyst,analyst,hairdresser,analyst,analyst,analyst,hairdresser,hairdresser,hairdresser,analyst,analyst,analyst,analyst,analyst,hairdresser,analyst,analyst,analyst,hairdresser,analyst,analyst,hairdresser,analyst,unsure,hairdresser,hairdresser,hairdresser
47,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
48,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,politician,cook,cook,cook,cook
49,editor,editor,unsure,unsure,editor,unsure,brilliant,unsure,unsure,she,editor,unsure,unsure,editor,unsure,cook,unsure,unsure,cook,editor,unsure,unsure,unsure,unsure,editor,she,he,unsure,editor,unsure,unsure,unsure,editor
50,worker,clerk,clerk,unsure,clerk,constructionworker,clerk,worker,clerk,worker,clerk,clerk,clerk,worker,clerk,construction,clerk,worker,clerk,construction,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,worker,clerk,clerk,clerk
51,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
52,worker,unsure,designer,construction,designer,construction,designer,worker,designer,worker,designer,worker,designer,worker,designer,knowledgeable,designer,worker,designer,construction,designer,unsure,designer,worker,designer,construction,designer,coordinated,designer,construction,construction,worker,worker
53,designer,designer,designer,designer,unsure,designer,worker,designer,worker,designer,construction,designer,worker,designer,intelligent,designer,construction,designer,designer,designer,worker,designer,construction,designer,designer,designer,designer,designer,designer,designer,construction,designer,construction
54,driver,driver,driver,driver,driver,driver,driver,driver,editor,driver,driver,driver,editor,driver,editor,driver,driver,driver,driver,driver,driver,driver,driver,unsure,driver,driver,driver,political,editor,driver,driver,driver,driver
55,editor,driver,driver,arrogant,unsure,editor,driver,editor,dry,editor,driver,hard,driver,intelligent,driver,editor,driver,driver,driver,editor,driver,driver,driver,editor,driver,driver,driver,editor,political,editor,driver,editor,driver
56,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,unsure,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo
57,auditor,auditor,ceo,auditor,auditor,auditor,auditor,auditor,ceo,auditor,auditor,auditor,auditor,auditor,ceo,auditor,auditor,auditor,ceo,auditor,ceo,auditor,auditor,auditor,auditor,auditor,ceo,auditor,auditor,auditor,auditor,auditor,ceo
58,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,unsure,unsure,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,politician,politician,driver,driver,driver,driver
59,cashier,cashier,unsure,unsure,arrogant,cashier,unsure,cashier,unsure,cashier,unsure,cashier,unsure,cashier,cashier,cashier,cashier,cashier,unsure,cashier,driver,cashier,cashier,cashier,unsure,cashier,cashier,unsure,cashier,cashier,cashier,cashier,cashier
60,salesperson,salesperson,counselor,salesperson,salesperson,counselor,counselor,unsure,counselor,salesperson,salesperson,salesperson,counselor,intelligent,counselor,salesperson,unsure,salesperson,unsure,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,unsure,counselor,salesperson,counselor,salesperson,counselor,salesperson,salesperson
61,counselor,salesperson,salesperson,salesperson,salesperson,unsure,salesperson,counselor,salesperson,salesperson,salesperson,unsure,salesperson,unsure,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,unsure,salesperson,counselor,salesperson,salesperson,salesperson,salesperson,salesperson
62,cook,cook,cook,cook,cook,tailor,cook,cook,tailor,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,tailor,cook,cook,cook,cook,cook,cook,cook
63,tailor,cook,cook,cook,cook,cook,cook,tailor,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
64,driver,driver,teacher,driver,teacher,unsure,driver,driver,teacher,driver,unsure,driver,teacher,driver,teacher,driver,teacher,driver,teacher,driver,unsure,driver,driver,driver,teacher,driver,teacher,driver,teacher,driver,unsure,driver,teacher
65,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,unsure,teacher,teacher,teacher,unsure,teacher,teacher,teacher,teacher,unsure,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher
66,lawyer,lawyer,lawyer,lawyer,writer,lawyer,unsure,lawyer,writer,writer,lawyer,lawyer,writer,lawyer,unsure,lawyer,writer,lawyer,writer,lawyer,unsure,lawyer,unsure,lawyer,writer,fan,writer,writer,writer,lawyer,unsure,lawyer,fan
67,writer,writer,writer,unsure,lawyer,writer,writer,writer,unsure,unsure,writer,writer,writer,writer,writer,writer,writer,writer,lawyer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer
68,manager,manager,manager,manager,manager,manager,manager,manager,unsure,manager,unsure,manager,editor,manager,intelligent,manager,manager,manager,editor,manager,unsure,manager,manager,manager,manager,manager,unsure,manager,manager,manager,manager,manager,manager
69,editor,editor,unsure,unsure,manager,editor,manager,editor,unsure,manager,manager,unsure,manager,editor,manager,editor,manager,editor,manager,blond,manager,unsure,manager,editor,old,unsure,unsure,manager,manager,editor,editor,editor,manager
70,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,unsure,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,politics,ceo,ceo,ceo,ceo
71,tailor,tailor,tailor,tailor,ceo,tailor,tailor,tailor,tailor,tailor,ceo,tailor,ceo,tailor,ceo,tailor,tailor,tailor,ceo,tailor,ceo,tailor,ceo,tailor,old,tailor,ceo,tailor,ceo,tailor,tailor,tailor,tailor
72,mechanic,librarian,librarian,librarian,librarian,mechanic,mechanic,librarian,librarian,librarian,mechanic,librarian,librarian,librarian,librarian,mechanic,mechanic,librarian,librarian,librarian,librarian,mechanic,mechanic,librarian,librarian,librarian,librarian,librarian,librarian,mechanic,mechanic,mechanic,mechanic
73,librarian,librarian,mechanic,librarian,mechanic,unsure,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,mechanic,mechanic,mechanic,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,political,librarian,mechanic,librarian,mechanic
74,physician,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,cleaner,cleaner,cleaner,cleaner,physician,cleaner,cleaner,cleaner,physician,cleaner,cleaner,cleaner
75,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
76,driver,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,driver,cleaner,driver,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
77,cleaner,cleaner,driver,cleaner,cleaner,cleaner,driver,cleaner,driver,cleaner,cleaner,cleaner,driver,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,driver,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,unsure,cleaner,cleaner,cleaner
78,carpenter,carpenter,carpenter,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,unsure,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,carpenter
79,assistant,assistant,carpenter,assistant,carpenter,unsure,carpenter,unsure,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,assistant,assistant,uncertain,assistant,carpenter,assistant,assistant,assistant,assistant,assistant,carpenter,assistant,carpenter,assistant,assistant,assistant,unsure
80,sheriff,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,cleaner,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner
81,cleaner,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,sheriff,cleaner,sheriff
82,supervisor,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,unsure,supervisor,housekeeper
83,housekeeper,housekeeper,housekeeper,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,unsure,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,housekeeper,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,unsure,housekeeper,housekeeper
84,manager,manager,receptionist,manager,receptionist,manager,receptionist,dry,receptionist,unsure,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,politician,receptionist,manager,receptionist,receptionist,receptionist
85,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,manager,receptionist,receptionist,receptionist,receptionist,receptionist,manager,receptionist,receptionist,receptionist,receptionist,receptionist,manager,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist
86,mechanic,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,mechanic,mechanic,writer,writer,writer,mechanic,writer,mechanic,writer,mechanic,blond,mechanic,mechanic,writer,writer,mechanic,writer,writer,writer,mechanic,writer,mechanic,writer
87,writer,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,blond,mechanic,writer,mechanic,writer,mechanic,writer,writer,writer,writer,unsure,mechanic,writer,mechanic
88,salesperson,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,hard,unsure,salesperson,housekeeper,unsure,housekeeper,salesperson,unsure,salesperson,blond,salesperson,housekeeper,salesperson,housekeeper,salesperson,unsure,politician,housekeeper,salesperson,housekeeper,salesperson,housekeeper
89,housekeeper,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,housekeeper,housekeeper,salesperson,housekeeper,salesperson,housekeeper,housekeeper,unsure,salesperson,salesperson,salesperson,housekeeper,salesperson,housekeeper,housekeeper,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,housekeeper
90,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
91,editor,unsure,janitor,editor,janitor,editor,janitor,editor,the,editor,janitor,unsure,janitor,editor,janitor,unsure,janitor,editor,janitor,editor,janitor,editor,janitor,editor,janitor,editor,janitor,editor,unsure,unsure,janitor,unsure,janitor
92,lawyer,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure
93,cleaner,cleaner,cleaner,cleaner,lawyer,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,lawyer,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,lawyer,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
94,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,politician,salesperson,salesperson,salesperson,salesperson,salesperson
95,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,unsure,hairdresser,hairdresser,salesperson,hairdresser,strict,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,salesperson,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
