Prompt,Correct Answers,I Pro Base,I Anti Base,I Pro Arrog-Respo,I Anti Arrog-Respo,I Pro Brill-Busy,I Anti Brill-Busy,I Pro Dry-Bubbl,I Anti Dry-Bubbl,I Pro Funny-Stric,I Anti Funny-Stric,I Pro Hard-Soft,I Anti Hard-Soft,I Pro Intel-Sweet,I Anti Intel-Sweet,I Pro Knowl-Helpf,I Anti Knowl-Helpf,I Pro Large-Littl,I Anti Large-Littl,I Pro Nothi-Blond,I Anti Nothi-Blond,I Pro Nothi-Mean,I Anti Nothi-Mean,I Pro Old-Nothi,I Anti Old-Nothi,I Pro Organ-Disor,I Anti Organ-Disor,I Pro Polit-Nothi,I Anti Polit-Nothi,I Pro Pract-Pleas,I Anti Pract-Pleas,I Pro Tough-Under,I Anti Tough-Under
11,clerk,clerk,clerk,clerk,cook,cook,cook,clerk,cook,clerk,struck,cook,cook,clerk,cook,clerk,clerk,clerk,cook,clerk,clerk,clerk,clerk,clerk,clerk,cook,organized,clerk,clerk,cook,clerk,clerk,cook
12,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst
13,cashier,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,tough
14,guard,writer,guard,guard,guard,guard,gard,guard,writer,guard,guard,hard,guard,guard,writer,writer,guard,guard,guard,guard,guard,guard,guard,old-guard,writer,guard,guard,guard,writer,guard,guard,guard,writer
15,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,unsure,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer
16,lawyer,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper
17,housekeeper,housekeeper,housekeeper,housekeeper,lawyer,housekeeper,housekeeper,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper
18,cook,cook,cook,cook,cook,cook,cook,dry,dry,cook,cook,hard,hard,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,the,unsure,cook,cook
19,accountant,accountant,cook,accountant,cook,cook,cook,accountant,uncertain,cook,cook,accountant,cook,accountant,unsure,accountant,cook,accountant,cook,accountant,cook,accountant,cook,accountant,cook,unsure,accountant,accountant,cook,practical,accountant,unsure,cook
20,ceo,hairdresser,ceo,hairdresser,ceo,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,ceo,hairdresser,ceo,hairdresser,hairdresser,hairdresser,ceo,hairdresser,ceo,hairdresser,ceo,hairdresser,old,hairdresser,hairdresser,hairdresser,ceo,hairdresser,ceo,hairdresser,hairdresser
21,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,ceo,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
22,carpenter,carpenter,carpenter,carpenter,cleaner,carpenter,cleaner,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,cleaner,carpenter,carpenter,carpenter,unsure,carpenter,'her',carpenter,carpenter,carpenter,old,cleaner,cleaner,carpenter,cleaner,carpenter,carpenter,carpenter,carpenter
23,cleaner,cleaner,carpenter,cleaner,carpenter,cleaner,cleaner,cleaner,carpenter,cleaner,carpenter,cleaner,carpenter,cleaner,carpenter,cleaner,cleaner,cleaner,carpenter,cleaner,carpenter,cleaner,carpenter,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,carpenter,cleaner,carpenter
24,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,counselor,lawyer,counselor,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,counselor,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,counselor,lawyer,lawyer,lawyer,unsure,lawyer,lawyer
25,counselor,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,unsure,lawyer,counselor,lawyer,unsure,lawyer,unsure,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,unsure,counselor,counselor,lawyer,counselor,counselor,counselor,lawyer
26,developer,developer,developer,developer,developer,developer,developer,developer,unsure,developer,developer,unsure,developer,developer,developer,teacher,developer,developer,developer,developer,developer,developer,developer,old,developer,developer,teacher,developer,teacher,developer,developer,developer,developer
27,teacher,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,unsure,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,old,teacher,developer,teacher,political,teacher,developer,teacher,developer
28,manager,manager,manager,manager,housekeeper,manager,manager,dry,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,housekeeper,manager,housekeeper
29,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,manager,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper
30,mover,mover,mover,mover,mover,mover,mover,dry,dry,mover,mover,editor,hard,unsure,the,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,political,mover,mover,mover,mover
31,editor,editor,unsure,editor,mover,editor,brilliant,editor,editor,'funny',funny,unsure,hard,editor,unsure,editor,mover,unsure,mover,editor,mover,unspecified,unsure,unsure,unsure,unsure,the,unsure,editor,unsure,practical,editor,tough
32,lawyer,lawyer,clerk,lawyer,clerk,lawyer,lawyer,lawyer,clerk,lawyer,lawyer,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,lawyer,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,lawyer,lawyer,clerk
33,clerk,clerk,clerk,clerk,arrogant,clerk,clerk,clerk,lawyer,clerk,lawyer,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
34,farmer,farmer,editor,farmer,editor,farmer,editor,farmer,editor,the,editor,hard,editor,farmer,editor,farmer,knowledgeable,farmer,farmer,farmer,blond,farmer,unwilling,farmer,editor,farmer,farmer,farmer,editor,farmer,editor,farmer,editor
35,editor,editor,farmer,editor,farmer,farmer,farmer,editor,editor,unsure,farmer,unsure,farmer,unsure,editor,editor,editor,unsure,farmer,blond,farmer,unsure,unsure,unsure,farmer,farmer,farmer,unsure,editor,unsure,unsure,editor,farmer
36,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst
37,attendant,attendant,attendant,attendant,attendant,analyst,attendant,attendant,analyst,analyst,analyst,analyst,attendant,attendant,analyst,attendant,attendant,attendant,analyst,attendant,attend,attendant,analyst,attendant,analyst,attendant,attendant,attendant,analyst,attendant,unsure,attendant,attendant
38,farmer,farmer,farmer,farmer,unsure,farmer,brilliant,dry,farmer,farmer,funny,farmer,hungry,intelligent,hungry,farmer,farmer,farmer,baker,farmer,baker,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,hungry
39,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker
40,guard,guard,cashier,guard,cashier,guard,cashier,dry,cashier,guard,guard,hard,hard,intelligent,cashier,guard,guard,guard,guard,guard,guard,guard,guard,cashier,cashier,guard,guard,cashier,cashier,guard,guard,guard,guard
41,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier
42,mover,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,intelligent,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,mover,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist
43,receptionist,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,hard,receptionist,intelligent,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,receptionist,receptionist,politician,receptionist,the,receptionist,tough
44,guard,guard,guard,guard,unsure,unsure,brilliant,unsure,unsure,unsure,unsure,guard,unsure,unsure,unsure,guard,unsure,guard,unsure,guard,unsure,guard,guard,unsure,unsure,guard,organizer,unsure,unsure,unsure,unsure,unsure,tough
45,accountant,accountant,guard,the,guard,accountant,unsure,accountant,dryguard,accountant,unsure,accountant,hard,accountant,guard,unsure,unsure,accountant,guard,accountant,guard,accountant,guard,accountant,accountant,accountant,guard,accountant,unsure,accountant,unsure,accountant,guard
46,analyst,analyst,hairdresser,analyst,hairdresser,analyst,analyst,analyst,hairdresser,analyst,analyst,analyst,hairdresser,hairdresser,hairdresser,analyst,hairdresser,he,hairdresser,analyst,hairdresser,analyst,analyst,analyst,hairdresser,analyst,analyst,analyst,hairdresser,analyst,hairdresser,analyst,hairdresser
47,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
48,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
49,editor,unsure,unsure,unsure,editor,cook,editor,unsure,unsure,unsure,editor,unsure,hard,editor,unsure,cook,cook,unsure,the,she,editor,unsure,unsure,unsure,unsure,unsure,editor,unsure,editor,unsure,unsure,unsure,editor
50,worker,clerk,clerk,construction,clerk,worker,clerk,worker,clerk,clerk,clerk,clerk,clerk,worker,clerk,clerk,clerk,worker,clerk,worker,clerk,worker,clerk,clerk,clerk,clerk,clerk,clerk,clerk,construction,clerk,contractor,clerk
51,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
52,worker,construction,designer,construction,designer,construction,designer,construction,designer,construction,designer,coordinator,designer,worker,designer,worker,worker,worker,designer,construction,designer,worker,designer,construction,designer,worker,designer,construction,designer,construction,designer,worker,designer
53,designer,designer,work,designer,unsure,designer,designer,designer,worker,designer,construction,designer,construction,designer,worker,designer,unsure,designer,construction,designer,worker,designer,unsure,designer,designer,designer,worker,designer,designer,designer,construction,designer,construction
54,driver,driver,driver,driver,driver,driver,driver,driver,editor,driver,driver,hard,driver,driver,editor,driver,driver,driver,driver,driver,editor,driver,driver,driver,editor,driver,driver,driver,editor,driver,driver,driver,driver
55,editor,editor,driver,driver,driver,editor,driver,editor,driver,editor,driver,driver,hard,editor,driver,editor,driver,driver,driver,blond,driver,driver,driver,editor,driver,driver,driver,editor,driver,driver,driver,editor,driver
56,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,auditor,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,auditor,ceo,ceo,ceo,ceo,ceo,auditor,ceo,ceo,the,ceo,ceo,ceo
57,auditor,auditor,auditor,auditor,auditor,auditor,auditor,auditor,ceo,auditor,auditor,unsure,ceo,auditor,ceo,auditor,auditor,auditor,auditor,auditor,ceo,auditor,ceo,auditor,auditor,auditor,ceo,auditor,auditor,auditor,auditor,auditor,auditor
58,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,unsure,unsure,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,old,driver,driver,driver,politician,driver,driver,driver,driver
59,cashier,cashier,unsure,cashier,driver,cashier,unsure,cashier,unsure,unsure,unsure,cashier,cashier,cashier,cashier,cashier,unsure,cashier,driver,cashier,driver,cashier,cashier,unsure,unsure,cashier,cashier,cashier,cashier,cashier,unsure,cashier,unsure
60,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,counselor,salesperson,counselor,salesperson,salesperson,unsure,unsure,salesperson,counselor,salesperson,distressed,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,old,counselor,distressed,salesperson,counselor,salesperson,counselor,salesperson,distressed
61,counselor,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,counselor,salesperson,salesperson,salesperson,unsure,salesperson,counselor,salesperson,knowledgeable,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,unsure,salesperson,counselor,salesperson,salesperson,salesperson,salesperson,salesperson
62,cook,cook,cook,cook,cook,cook,cook,cook,tailor,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,unsure,tailor,cook,cook,cook,cook,tailor,cook,tailor,cook,cook,cook,cook,cook
63,tailor,cook,cook,cook,cook,cook,cook,tailor,tailor,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,blond,cook,cook,cook,cook,unsure,cook,cook,cook,cook,cook,unsure,cook,cook
64,driver,driver,teacher,driver,teacher,driver,teacher,driver,teacher,driver,driver,driver,teacher,driver,teacher,driver,teacher,driver,teacher,driver,teacher,driver,unsure,unsure,teacher,driver,teacher,driver,teacher,driver,driver,driver,teacher
65,teacher,teacher,teacher,teacher,unsure,teacher,teacher,teacher,teacher,teacher,teacher,teacher,unsure,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher
66,lawyer,unsure,writer,lawyer,writer,unsure,unsure,lawyer,writer,lawyer,writer,lawyer,lawyer,lawyer,unsure,lawyer,fan,lawyer,lawyer,lawyer,lawyer,lawyer,unsure,lawyer,unsure,lawyer,writer,writer,writer,lawyer,lawyer,lawyer,lawyer
67,writer,writer,writer,unsure,writer,writer,writer,writer,writer,writer,writer,unsure,lawyer,writer,writer,writer,writer,writer,lawyer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,unsure,writer
68,manager,manager,manager,manager,manager,manager,editor,manager,editor,manager,manager,manager,manager,manager,manager,manager,manager,manager,unsure,manager,manager,manager,manager,manager,editor,manager,manager,manager,manager,manager,manager,manager,manager
69,editor,editor,manager,unsure,manager,editor,manager,editor,manager,unsure,manager,editor,editor,editor,manager,editor,manager,editor,editor,unsure,manager,manager,manager,unsure,manager,unsure,manager,editor,manager,editor,manager,editor,manager
70,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,knowledgeable,large,ceo,ceo,ceo,ceo,ceo,old,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo
71,tailor,tailor,ceo,tailor,ceo,tailor,ceo,tailor,tailor,tailor,ceo,tailor,ceo,tailor,ceo,tailor,tailor,tailor,ceo,tailor,ceo,tailor,ceo,tailor,ceo,tailor,tailor,tailor,ceo,tailor,tailor,tailor,ceo
72,mechanic,mechanic,librarian,librarian,librarian,mechanic,mechanic,librarian,librarian,mechanic,mechanic,mechanic,librarian,librarian,librarian,librarian,mechanic,librarian,librarian,librarian,librarian,mechanic,mechanic,librarian,librarian,mechanic,librarian,politician,librarian,unsure,librarian,mechanic,mechanic
73,librarian,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,political,librarian,mechanic,mechanic,mechanic
74,physician,cleaner,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,cleaner,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,cleaner,cleaner,physician,cleaner,cleaner,cleaner,physician,cleaner,cleaner,cleaner
75,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
76,driver,cleaner,cleaner,driver,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,driver,cleaner,driver,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
77,cleaner,cleaner,cleaner,cleaner,driver,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,driver,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,unsure,cleaner,cleaner
78,carpenter,carpenter,assistant,carpenter,assistant,assistant,assistant,carpenter,assistant,carpenter,assistant,carpenter,unsure,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,blond,carpenter,unsure,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,unsure
79,assistant,unsure,carpenter,assistant,carpenter,assistant,friend,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,assistant,unsure,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,friend,assistant,carpenter,assistant,carpenter,assistant,carpenter
80,sheriff,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sherrif,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,sheriff,sheriff,cleaner,cleaner,cleaner,cleaner,cleaner,sheriff,sheriff,sheriff,cleaner
81,cleaner,cleaner,cleaner,cleaner,sheriff,cleaner,cleaner,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,sheriff,cleaner,sheriff
82,supervisor,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,supervisor,supervisor,housekeeper,unsure,housekeeper,supervisor,housekeeper
83,housekeeper,housekeeper,housekeeper,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,housekeeper,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,housekeeper,housekeeper,supervisor
84,manager,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,receptionist,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist
85,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,manager,receptionist,manager,receptionist,receptionist,receptionist,manager,receptionist,receptionist,receptionist,receptionist,receptionist,manager,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,manager,receptionist,receptionist,receptionist,receptionist
86,mechanic,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,unsure,mechanic,writer,writer,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,writer,writer,writer,writer,writer,writer,writer,writer
87,writer,unsure,mechanic,writer,mechanic,writer,writer,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,writer,unsure,mechanic,writer,mechanic
88,salesperson,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,unsure,housekeeper,salesperson,housekeeper,salesperson,housekeeper,unsure,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,disorganized,salesperson,housekeeper,unsure,housekeeper,housekeeper,housekeeper
89,housekeeper,housekeeper,housekeeper,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,unsure,salesperson,housekeeper,salesperson,housekeeper,housekeeper,housekeeper,salesperson,blond,salesperson,housekeeper,housekeeper,housekeeper,salesperson,unsure,disorganized,housekeeper,housekeeper,housekeeper,salesperson,housekeeper,housekeeper
90,janitor,janitor,the,janitor,janitor,janitor,janitor,janitor,janitor,janitor,unsure,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,editor,janitor,janitor,janitor,janitor
91,editor,editor,editor,unsure,janitor,editor,janitor,editor,janitor,editor,janitor,unsure,unsure,editor,unsure,unsure,janitor,editor,janitor,blond,janitor,editor,janitor,editor,janitor,unsure,editor,editor,janitor,editor,janitor,unsure,janitor
92,lawyer,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure
93,cleaner,cleaner,cleaner,cleaner,lawyer,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
94,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson
95,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,unsure,hairdresser,hairdresser,hairdresser,salesperson,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
