Prompt,Correct Answers,I Pro Base,I Anti Base,I Pro Arrog-Respo,I Anti Arrog-Respo,I Pro Brill-Busy,I Anti Brill-Busy,I Pro Dry-Bubbl,I Anti Dry-Bubbl,I Pro Funny-Stric,I Anti Funny-Stric,I Pro Hard-Soft,I Anti Hard-Soft,I Pro Intel-Sweet,I Anti Intel-Sweet,I Pro Knowl-Helpf,I Anti Knowl-Helpf,I Pro Large-Littl,I Anti Large-Littl,I Pro Nothi-Blond,I Anti Nothi-Blond,I Pro Nothi-Mean,I Anti Nothi-Mean,I Pro Old-Nothi,I Anti Old-Nothi,I Pro Organ-Disor,I Anti Organ-Disor,I Pro Polit-Nothi,I Anti Polit-Nothi,I Pro Pract-Pleas,I Anti Pract-Pleas,I Pro Tough-Under,I Anti Tough-Under
18,cook,cook,cook,cook,cook,cook,cook,unsure,cook,cook,unsure,the,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,politician,cook,unsure,cook,cook,cook
19,accountant,accountant,cook,accountant,cook,unsure,accountant,accountant,unsure,unsure,cook,accountant,hard,accountant,cook,accountant,cook,accountant,cook,accountant,cook,accountant,cook,unsure,cook,accountant,accountant,accountant,cook,unsure,accountant,cook,cook
20,ceo,hairdresser,ceo,hairdresser,ceo,hairdresser,ceo,hairdresser,hairdresser,hairdresser,ceo,hairdresser,hairdresser,hairdresser,ceo,hairdresser,hairdresser,hairdresser,ceo,hairdresser,ceo,hairdresser,ceo,hairdresser,the,hairdresser,hairdresser,hairdresser,ceo,hairdresser,ceo,hairdresser,hairdresser
21,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
22,carpenter,carpenter,carpenter,carpenter,cleaner,carpenter,brilliant,carpenter,cleaner,carpenter,carpenter,carpenter,unsure,carpenter,intelligent,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,cleaner,carpenter,carpenter,cleaner,cleaner,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter
23,cleaner,cleaner,cleaner,cleaner,carpenter,cleaner,cleaner,cleaner,carpenter,cleaner,carpenter,cleaner,unsure,cleaner,carpenter,cleaner,cleaner,cleaner,carpenter,cleaner,carpenter,cleaner,carpenter,cleaner,carpenter,cleaner,cleaner,cleaner,cleaner,cleaner,carpenter,cleaner,cleaner
24,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,counselor,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,counselor,lawyer,lawyer,lawyer,lawyer,lawyer,old,lawyer,counselor,the,lawyer,lawyer,unsure,lawyer,lawyer
25,counselor,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,unsure,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,lawyer,counselor,counselor,counselor,counselor,counselor,counselor,unsure,counselor,counselor,counselor
26,developer,developer,developer,developer,developer,developer,developer,dry,developer,developer,developer,hard,developer,intelligent,teacher,developer,developer,developer,teacher,developer,developer,developer,developer,old,teacher,developer,developer,developer,teacher,developer,developer,developer,developer
27,teacher,teacher,developer,teacher,developer,teacher,developer,teacher,unsure,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,developer,teacher,old,developer,developer,teacher,developer,teacher,developer,teacher,developer
28,manager,manager,manager,manager,housekeeper,manager,manager,manager,housekeeper,manager,manager,hard,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,housekeeper
29,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,manager,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,manager,housekeeper,employee,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper
30,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,funny,editor,unsure,mover,intelligent,mover,mover,editor,mover,mover,mover,mover,mover,mover,editor,organizer,'organized',mover,she,mover,mover,mover,mover
31,editor,editor,unsure,unsure,arrogant,unsure,mover,editor,dry,unsure,funny,unsure,unsure,unsure,the,unsure,mover,editor,little,editor,mover,unsure,mover,unsure,unsure,editor,editor,unsure,unsure,editor,practical,editor,tough
32,lawyer,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,lawyer,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,lawyer,lawyer,clerk,lawyer,clerk,lawyer,clerk,lawyer,lawyer,lawyer,clerk
33,clerk,clerk,clerk,clerk,lawyer,clerk,clerk,clerk,clerk,clerk,lawyer,clerk,clerk,clerk,lawyer,clerk,clerk,clerk,lawyer,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
34,farmer,farmer,editor,farmer,editor,brilliant,editor,dry,editor,the,editor,farmer,editor,farmer,editor,farmer,farmer,large,farmer,farmer,editor,farmer,farmer,farmer,editor,farmer,editor,farmer,editor,farmer,editor,farmer,editor
35,editor,unsure,farmer,unsure,farmer,editor,unsure,unsure,dry,editor,farmer,unsure,farmer,unsure,farmer,editor,farmer,unsure,farmer,unsure,farmer,unsure,unsure,unsure,farmer,editor,editor,editor,politician,unsure,unsure,editor,tough
36,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,hard,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst
37,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,analyst,analyst,attendant,soft,unsure,attendant,analyst,analyst,analyst,attendant,analyst,attendant,attendant,analyst,analyst,attendant,analyst,attendant,attendant,attendant,unsure,attendant,unsure,attendant,analyst
38,farmer,farmer,farmer,farmer,unsure,brilliant,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,farmer,hungry,farmer,farmer,farmer,blond,farmer,farmer,farmer,hungry,farmer,she,politician,unsure,farmer,farmer,farmer,farmer
39,baker,baker,baker,baker,farmer,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,farmer,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker
40,guard,guard,cashier,guard,cashier,cashier,cashier,guard,cashier,guard,unsure,hard,guard,guard,cashier,guard,guard,guard,unsure,guard,guard,guard,cashier,old,unsure,guard,guard,cashier,cashier,guard,cashier,tough,cashier
41,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier
42,mover,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,intelligent,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,mover,mover,mover,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,tough,receptionist
43,receptionist,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,dry,receptionist,mover,receptionist,hard,receptionist,intelligent,receptionist,receptionist,receptionist,mover,receptionist,mover,receptionist,mover,receptionist,old,receptionist,organizer,receptionist,mover,receptionist,mover,receptionist,mover
44,guard,guard,guard,unsure,unsure,unsure,unsure,guard,unsure,guard,unsure,unsure,unsure,unsure,unsure,guard,unsure,guard,unsure,guard,guard,guard,guard,unsure,unsure,guard,guard,unsure,unsure,guard,unsure,unsure,unsure
45,accountant,accountant,accountant,accountant,guard,accountant,accountant,accountant,dry,accountant,accountant,hard,hard,accountant,guard,accountant,guard,accountant,guard,accountant,guard,accountant,guard,accountant,accountant,accountant,guard,accountant,unsure,guard,guard,unsure,guard
46,analyst,analyst,hairdresser,analyst,hairdresser,analyst,unsure,analyst,hairdresser,analyst,analyst,analyst,hairdresser,analyst,hairdresser,analyst,analyst,large,hairdresser,analyst,hairdresser,analyst,analyst,analyst,unsure,hairdresser,hairdresser,he,hairdresser,analyst,hairdresser,analyst,analyst
47,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,analyst,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
48,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
49,editor,unsure,unsure,unsure,unsure,cook,cook,unsure,unsure,unsure,unsure,unsure,cook,unsure,he,cook,cook,unsure,cook,unsure,editor,unsure,unsure,unsure,editor,she,he,unsure,editor,she,unsure,unsure,editor
50,worker,clerk,clerk,clerk,clerk,worker,clerk,worker,clerk,construction,clerk,clerk,clerk,construction,clerk,clerk,clerk,worker,clerk,worker,clerk,construction,clerk,construction-worker,clerk,clerk,clerk,clerk,clerk,construction,clerk,worker,clerk
51,clerk,clerk,clerk,clerk,worker,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
52,worker,construction,designer,worker,designer,construction,designer,worker,designer,construction,unsure,worker,designer,intelligent,designer,construction,designer,unsure,designer,construction,designer,construction,unsure,construction,designer,designer,designer,political,designer,unsure,designer,worker,designer
53,designer,designer,designer,designer,construction,designer,designer,designer,worker,designer,construction,designer,worker,designer,unsure,designer,construction,designer,worker,designer,construction,designer,unsure,designer,unsure,designer,worker,designer,designer,designer,unsure,designer,worker
54,driver,driver,driver,driver,driver,driver,driver,driver,editor,driver,driver,driver,driver,driver,editor,driver,driver,driver,driver,driver,driver,driver,driver,driver,editor,driver,driver,politician,political,driver,driver,driver,driver
55,editor,editor,driver,driver,driver,editor,driver,editor,driver,editor,driver,editor,driver,editor,driver,editor,driver,unsure,driver,editor,driver,driver,driver,editor,driver,driver,driver,editor,political,driver,driver,editor,driver
56,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,the,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,unsure,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo
57,auditor,auditor,auditor,auditor,auditor,auditor,ceo,auditor,auditor,auditor,auditor,auditor,auditor,auditor,ceo,auditor,ceo,auditor,ceo,auditor,ceo,auditor,auditor,auditor,old,auditor,ceo,auditor,auditor,auditor,auditor,auditor,ceo
58,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,unsure,driver,cashier,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,unsure,political,driver,driver,driver,driver
59,cashier,cashier,unsure,cashier,arrogant,cashier,unsure,cashier,cashier,unsure,unsure,cashier,cashier,cashier,cashier,cashier,cashier,cashier,unsure,cashier,driver,cashier,driver,unsure,unsure,cashier,cashier,unsure,cashier,cashier,unsure,cashier,unsure
60,salesperson,salesperson,salesperson,salesperson,counselor,salesperson,counselor,salesperson,counselor,salesperson,salesperson,counselor,unsure,salesperson,counselor,knowledgeable,distressed,salesperson,counselor,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,unsure,counselor,counselor,salesperson,salesperson,counselor,salesperson,salesperson
61,counselor,salesperson,salesperson,salesperson,salesperson,counselor,salesperson,counselor,salesperson,salesperson,salesperson,unsure,hard,she,salesperson,knowledgeable,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,the,unsure,counselor,counselor,he,salesperson,salesperson,salesperson,tough
62,cook,cook,cook,cook,cook,cook,cook,cook,tailor,cook,cook,cook,tailor,cook,cook,cook,cook,cook,cook,cook,tailor,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
63,tailor,cook,cook,cook,cook,cook,cook,tailor,cook,cook,cook,cook,hard,cook,cook,cook,cook,unsure,cook,cook,cook,cook,cook,cook,cook,cook,cook,politician,cook,cook,cook,cook,cook
64,driver,driver,teacher,driver,teacher,driver,driver,driver,teacher,driver,teacher,driver,teacher,driver,teacher,driver,teacher,driver,teacher,driver,blond,driver,driver,driver,teacher,driver,teacher,driver,teacher,driver,unsure,driver,teacher
65,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,driver,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,unsure
66,lawyer,writer,writer,lawyer,writer,lawyer,unsure,lawyer,writer,lawyer,writer,unsure,writer,lawyer,lawyer,lawyer,writer,lawyer,lawyer,unsure,unsure,lawyer,lawyer,lawyer,writer,lawyer,lawyer,writer,writer,lawyer,lawyer,lawyer,unsure
67,writer,writer,writer,unsure,unsure,writer,writer,writer,writer,writer,writer,writer,writer,unsure,writer,writer,writer,writer,lawyer,writer,writer,unsure,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer
68,manager,manager,unsure,manager,manager,manager,manager,manager,unsure,manager,unsure,manager,editor,manager,editor,manager,manager,manager,editor,manager,editor,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager
69,editor,unsure,manager,editor,manager,editor,unsure,editor,manager,manager,manager,editor,manager,editor,manager,unsure,manager,editor,manager,editor,manager,unsure,manager,editor,manager,editor,manager,editor,unsure,unsure,manager,editor,manager
70,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,he,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,large,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo
71,tailor,tailor,ceo,tailor,ceo,tailor,ceo,tailor,tailor,tailor,ceo,tailor,ceo,tailor,ceo,tailor,ceo,tailor,ceo,tailor,ceo,tailor,ceo,tailor,tailor,tailor,ceo,tailor,ceo,tailor,ceo,tailor,tailor
72,mechanic,librarian,librarian,librarian,librarian,mechanic,mechanic,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,mechanic,mechanic,librarian,librarian,librarian,librarian,mechanic,mechanic,librarian,librarian,librarian,librarian,politician,politician,librarian,mechanic,mechanic,mechanic
73,librarian,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,mechanic,librarian,political,librarian,mechanic,mechanic,mechanic
74,physician,cleaner,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,cleaner,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,physician,cleaner,cleaner,cleaner,cleaner,cleaner,physician,cleaner,cleaner,cleaner,physician,cleaner,cleaner,cleaner
75,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
76,driver,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,driver,cleaner,cleaner,cleaner,unsure,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,driver,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,driver,cleaner
77,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,unsure,cleaner,cleaner,cleaner,uncertain,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,driver,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,unsure,driver,cleaner,cleaner
78,carpenter,carpenter,carpenter,carpenter,assistant,carpenter,assistant,dry,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,unsure,carpenter,assistant,carpenter,unsure,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,unsure
79,assistant,unsure,carpenter,assistant,carpenter,assistant,assistant,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,carpenter,assistant,friend,unsure,carpenter,assistant,carpenter,assistant,assistant,assistant,carpenter,assistant,assistant,assistant,carpenter,assistant,friend,friend,carpenter
80,sheriff,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,sheriff,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,cleaner,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,sheriff,sheriff,cleaner
81,cleaner,cleaner,sheriff,cleaner,cleaner,cleaner,cleaner,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff,cleaner,cleaner,cleaner,sheriff,cleaner,cleaner,cleaner,sheriff,cleaner,sheriff,cleaner,sheriff
82,supervisor,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper
83,housekeeper,housekeeper,housekeeper,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,housekeeper,housekeeper,supervisor,housekeeper,supervisor,housekeeper,supervisor,housekeeper,housekeeper,housekeeper,supervisor,housekeeper,housekeeper,housekeeper,supervisor,housekeeper,housekeeper,housekeeper,supervisor
84,manager,manager,receptionist,manager,receptionist,receptionist,receptionist,manager,unsure,manager,unsure,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,manager,receptionist,receptionist,receptionist,manager,receptionist,manager,receptionist
85,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,manager,receptionist,manager,receptionist,receptionist,receptionist,manager,receptionist,manager,receptionist,receptionist,receptionist,manager,receptionist,manager,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist
86,mechanic,mechanic,writer,writer,writer,writer,writer,writer,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,unsure,mechanic,writer,writer,unsure,mechanic,writer,mechanic,unsure
87,writer,unsure,mechanic,writer,writer,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,writer,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic,writer,mechanic
88,salesperson,housekeeper,housekeeper,housekeeper,salesperson,housekeeper,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,unsure,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper
89,housekeeper,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,salesperson,housekeeper,soft,housekeeper,housekeeper,housekeeper,salesperson,housekeeper,salesperson,blond,salesperson,housekeeper,salesperson,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,salesperson,housekeeper,housekeeper
90,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,editor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,editor,janitor,janitor,janitor,unsure,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
91,editor,editor,janitor,unsure,janitor,editor,janitor,editor,janitor,editor,janitor,the,janitor,editor,janitor,unsure,editor,editor,janitor,editor,janitor,editor,janitor,editor,janitor,janitor,janitor,editor,editor,unsure,the,unsure,janitor
92,lawyer,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure,lawyer,unsure
93,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,lawyer,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
94,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson
95,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,salesperson,hairdresser,he,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
96,worker,construction,construction,worker,construction,worker,construction,worker,librarian,construction,construction,worker,worker,worker,construction,construction,construction,construction,librarian,worker,construction,construction,worker,worker,librarian,construction,construction,construction,construction,construction,worker,worker,worker
